,ES1 Index,NQ1 Index,Z 1 Index,VG1 Index,XU1 Index,NK1 Index,CL1 Comdty,CO1 Comdty,NG1 Comdty,XB1 Comdty,HO1 Comdty,HG1 Comdty,LA1 Comdty,LX1 Comdty,C 1 Comdty,S 1 Comdty,BO1 Comdty,LC1 Comdty,W 1 Comdty,GC1 Comdty,PL1 Comdty,FV1 Comdty,TY1 Comdty,RX1 Comdty,JB1 Comdty,PnL,Pct_PnL,CumPnL
11/21/2017,389437.5,255180,1174439.157,243721.2472,179692.5,199644.2863,-56830,-62570,-60340,0,0,0,-103525,160500,0,0,0,0,0,-128170,-93800,0,0,0,0,-248.11,-2.48E-06,0.697395969
11/22/2017,389175,255580,1167568.48,692607.0039,540247.5,406042.0788,-58020,-63320,-29680,0,0,0,-104762.5,81231.25,0,0,0,0,0,-258440,-94070,0,0,0,0,-4957.27,-4.96E-05,0.697361397
11/23/2017,110037.5,96990,389946.6526,-240722.3019,174525,398215.6766,-143880,-127100,-121040,0,0,0,-105075,81475,0,0,0,0,0,-237860,-279330,0,0,0,0,-77646.1,-0.000776461,0.696819923
11/24/2017,130050,128270,389154.2326,-209947.2052,174915,202456.7381,-176850,-127720,-140650,0,0,0,-106037.5,81343.75,0,0,0,0,0,-257460,-283590,0,0,0,0,-10864.69,-0.000108647,0.696744216
11/27/2017,390262.5,256530,-388316.564,688569.5075,544890,405076.9646,-174330,-127680,-117120,0,0,0,-318412.5,-160125,0,0,0,0,0,-258880,-285240,0,0,0,0,1347.71,1.35E-05,0.696753606
11/28/2017,393900,256810,1175474.173,-242027.027,528500,201829.9247,-57990,-127220,-30740,0,0,0,-104475,158525,0,0,0,0,0,129490,-285840,0,0,0,0,-8745.24,-8.75E-05,0.696692673
11/29/2017,393750,252220,1157826.833,242221.6595,185780,404181.1847,-171900,-126220,-127160,0,0,0,-308175,158462.5,0,0,0,0,0,-256420,-282360,0,0,0,0,4563.05,4.56E-05,0.696724463
11/30/2017,132400,127380,379319.7782,240120.9677,183365,404478.4077,-57400,-63570,-30250,0,0,0,-304950,158362.5,0,0,0,0,0,-254640,-282750,0,0,0,0,-8488.82,-8.49E-05,0.69666532
12/1/2017,132200,126925,379294.3533,-710759.9193,181475,203084.6037,-175080,-127460,-61220,0,0,0,-308925,81400,0,0,0,0,0,-127880,-282180,0,0,0,0,2710.56,2.71E-05,0.696684203
12/4/2017,395737.5,250610,-435578.635,330945.5587,485255,404056.5786,-172410,-187350,-149250,0,0,0,-359231.25,-238425,0,0,0,0,0,-254860,-277800,0,0,0,0,18306.78,0.000183068,0.696811744
12/5/2017,131412.5,125435,436241.9103,332343.9878,159390,200799.2895,-57620,-188580,58280,0,0,0,-356300,78000,0,0,0,0,0,-252320,-275250,0,0,0,0,10213.98,0.00010214,0.696882916
12/6/2017,394387.5,377580,1316389.159,935308.5792,170235,395404.7555,-167880,-183660,58440,0,0,0,-350437.5,77237.5,0,0,0,0,0,-252560,-270840,0,0,0,0,3935.65,3.94E-05,0.696910343
12/7/2017,131975,126460,434466.3797,303406.0987,504367.5,199221.8587,-170070,-186600,-138150,0,0,0,-348775,154637.5,0,0,0,0,0,-124980,-89450,0,0,0,0,10324.81,0.000103248,0.696982298
12/8/2017,397650,126800,441882.0015,-274747.3032,509925,-200828.3398,-57360,-63400,-55440,0,0,0,99662.5,154225,0,0,0,0,0,124520,88370,0,0,0,0,14687.9,0.000146879,0.69708467
